round,date,win 1,win 2,win 3
549,2013.6.8,8,35,"1,487"
548,2013.6.1,8,46,"1,646"
547,2013.5.25,5,54,"1,548"
546,2013.5.18,30,55,"3,110"
545,2013.5.11,11,42,"1,497"
544,2013.5.4,13,47,"1,527"
543,2013.4.27,12,47,"1,968"
542,2013.4.20,6,26,"1,456"
541,2013.4.13,11,40,"1,444"
540,2013.4.6,7,26,"1,409"
539,2013.3.30,9,42,"1,519"
538,2013.3.23,3,48,"1,724"
537,2013.3.16,7,35,"1,444"
536,2013.3.9,11,40,"1,676"
535,2013.3.2,3,31,"1,512"
534,2013.2.23,1,55,"1,537"
533,2013.2.16,8,44,"1,517"
532,2013.2.9,7,26,"1,480"
531,2013.2.2,9,42,"1,618"
530,2013.1.26,11,40,"1,449"
529,2013.1.19,8,33,"1,502"
528,2013.1.12,11,86,"1,811"
527,2013.1.5,13,29,"1,967"
526,2012.12.29,9,49,"1,539"
525,2012.12.22,9,41,"1,543"
524,2012.12.15,4,36,"1,338"
523,2012.12.8,7,43,"1,557"
522,2012.12.1,6,39,"1,495"
521,2012.11.24,8,53,"1,612"
520,2012.11.17,6,37,"1,627"
519,2012.11.10,7,32,"1,357"
518,2012.11.3,6,34,"1,349"
517,2012.10.27,5,40,"1,493"
516,2012.10.20,11,32,"1,338"
515,2012.10.13,1,35,"1,450"
514,2012.10.6,3,36,"1,362"
513,2012.9.29,3,54,"1,626"
512,2012.9.22,13,52,"1,682"
511,2012.9.15,6,37,"1,524"
510,2012.9.8,5,25,"1,319"
509,2012.9.1,5,34,"1,228"
508,2012.8.25,8,31,"1,596"
507,2012.8.18,9,29,"1,473"
506,2012.8.11,3,33,"1,588"
505,2012.8.4,6,38,"1,440"
504,2012.7.28,9,29,"1,294"
503,2012.7.21,7,42,"1,292"
502,2012.7.14,6,31,"1,482"
501,2012.7.7,4,61,"1,639"
500,2012.6.30,9,68,"1,831"
499,2012.6.23,3,46,"1,514"
498,2012.6.16,4,35,"1,334"
497,2012.6.9,6,30,"1,148"
496,2012.6.2,4,46,"1,389"
495,2012.5.26,6,44,"1,568"
494,2012.5.19,12,40,"1,539"
493,2012.5.12,9,27,"1,342"
492,2012.5.5,5,40,"1,434"
491,2012.4.28,4,31,"1,360"
490,2012.4.21,7,29,"1,357"
489,2012.4.14,6,52,"1,538"
488,2012.4.7,10,33,"1,345"
487,2012.3.31,8,46,"1,587"
486,2012.3.24,13,29,"1,501"
485,2012.3.17,9,33,"1,406"
484,2012.3.10,6,32,"1,343"
483,2012.3.3,5,53,"1,886"
482,2012.2.25,7,30,"1,639"
481,2012.2.18,3,34,"1,294"
480,2012.2.11,4,50,"1,983"
479,2012.2.4,6,34,"1,389"
478,2012.1.28,14,35,"1,285"
477,2012.1.21,8,33,"1,474"
476,2012.1.14,4,34,"1,294"
475,2012.1.7,8,33,"1,486"
474,2011.12.31,15,48,"1,738"
473,2011.12.24,4,36,"1,313"
472,2011.12.17,7,23,"1,352"
471,2011.12.10,7,30,"1,219"
470,2011.12.3,3,27,"1,390"
469,2011.11.26,4,33,"1,277"
468,2011.11.19,9,33,"1,457"
467,2011.11.12,9,33,"1,811"
466,2011.11.5,9,55,"1,746"
465,2011.10.29,7,46,"1,733"
464,2011.10.22,13,78,"3,145"
463,2011.10.15,0,37,"1,254"
462,2011.10.8,8,39,"1,394"
461,2011.10.1,6,32,"1,717"
460,2011.9.24,4,30,"1,307"
459,2011.9.17,7,46,"1,532"
458,2011.9.10,8,52,"1,433"
457,2011.9.3,10,47,"1,506"
456,2011.8.27,7,39,"1,616"
455,2011.8.20,7,32,"1,448"
454,2011.8.13,7,43,"1,397"
453,2011.8.6,5,36,"1,412"
452,2011.7.30,9,48,"1,298"
451,2011.7.23,13,31,"1,612"
450,2011.7.16,6,34,"1,349"
449,2011.7.9,3,39,"1,295"
448,2011.7.2,3,35,"1,422"
447,2011.6.25,4,31,"1,721"
446,2011.6.18,3,41,"1,375"
445,2011.6.11,7,28,"1,183"
444,2011.6.4,3,26,"1,270"
443,2011.5.28,9,41,"1,668"
442,2011.5.21,9,27,"1,271"
441,2011.5.14,4,42,"1,127"
